Statement,URL,Source
“Hillary Clinton was sending classified documents that were stamped TS or TSSCI.”,https://www.politifact.com/factchecks/2025/mar/28/markwayne-mullin/hillary-clinton-sent-emails-stamped-top-secret-no/,Markwayne Mullin
Image shows a “person dressed up as Pikachu to resist police violence” in Turkey.,https://www.politifact.com/factchecks/2025/mar/28/social-media/image-of-a-person-dressed-as-pikachu-in-turkey-pro/,Social Media
"North Carolina “always had nonpartisan judicial races, and when the Republicans took over several years ago they changed it.”",https://www.politifact.com/factchecks/2025/mar/28/sydney-batch/democrat-wrongly-says-nc-always-had-nonpartisan-ju/,Sydney Batch
Videos show tornadoes hitting Seattle on March 26 and 27.,https://www.politifact.com/factchecks/2025/mar/28/tiktok-posts/videos-dont-show-seattle-tornadoes-no-twisters-tou/,TikTok posts
“We have automobile plants being built at levels we've never seen … and they're going up fast.”,https://www.politifact.com/factchecks/2025/mar/28/donald-trump/fact-checking-donald-trump-on-whether-automobile-p/,Donald Trump
Phoenix’s increased wildfire risk is linked to Bill Gates’ “smart city” plans.,https://www.politifact.com/factchecks/2025/mar/28/facebook-posts/phoenixs-wildfire-risk-linked-to-climate-change-an/,Facebook posts
“Canada makes bold decision to shut down Tesla and the US auto industry.”,https://www.politifact.com/factchecks/2025/mar/28/facebook-posts/beep-beep-teslas-and-other-american-cars-are-still/,Facebook posts
"“Elon Musk exposes hidden $20K roof grant. Congress approved it.""",https://www.politifact.com/factchecks/2025/mar/28/facebook-posts/theres-no-20000-hidden-grant-program-for-roof-repa/,Facebook posts
"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",https://www.politifact.com/factchecks/2025/mar/28/susan-crawford/in-wisconsin-supreme-court-race-crawford-claims-sc/,Susan Crawford
Video shows the Bitcoin whitepaper “was spotted at the White House.”,https://www.politifact.com/factchecks/2025/mar/27/facebook-posts/trump-showed-the-declaration-of-independence-not-t/,Facebook posts
“El nuevo presidente ha aprobado el Programa Nacional de Alivio de Deuda 2025 para todos los hispanoamericanos”.,https://www.politifact.com/factchecks/2025/mar/27/facebook-posts/donald-trump-no-aprobo-un-nuevo-programa-nacional/,Facebook posts
Imagen muestra a “uno de los manifestantes que participó en el vandalismo contra un concesionario de Tesla. La deportación a El Salvador fue consecuencia de sus acciones”.,https://www.politifact.com/factchecks/2025/mar/27/facebook-posts/no-esta-imagen-no-es-de-un-hombre-arrestado-por-va/,Facebook posts
People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.,https://www.politifact.com/factchecks/2025/mar/27/tiktok-posts/people-can-get-student-debt-erased-by-filing-famil/,TikTok posts
Elon Musk said “Tesla is finished” and needs “drastic changes immediately.”,https://www.politifact.com/factchecks/2025/mar/26/facebook-posts/no-elon-musk-didnt-say-tesla-is-doomed/,Facebook posts
"""Nobody was texting war plans"" in the Trump administration Signal group text about bombing Yemen.",https://www.politifact.com/factchecks/2025/mar/26/pete-hegseth/fact-checking-pete-hegseths-false-statement-that-n/,Pete Hegseth
“El presidente Donald Trump anunció una nueva ley que prohíbe a los inmigrantes hablar español en público en los Estados Unidos”.,https://www.politifact.com/factchecks/2025/mar/25/tiktok-posts/trump-designo-el-ingles-como-idioma-oficial-en-eeu/,TikTok posts
“La medida audaz de Canadá: Tesla y la industria automotriz estadounidense cierran”.,https://www.politifact.com/factchecks/2025/mar/25/facebook-posts/autos-teslas-y-de-otras-companias-estadounidense-a/,Facebook posts
Defense Secretary Pete Hegseth “removed Colin Powell’s name from a list of notable Americans buried at Arlington National Cemetery.”,https://www.politifact.com/factchecks/2025/mar/25/tweets/gen-colin-powell-appeared-on-arlington-national-ce/,X posts
"“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",https://www.politifact.com/factchecks/2025/mar/25/nick-lalota/lalota-says-he-was-voting-to-protect-medicaid-othe/,Nick LaLota
