Statement,Summary,Importance Score,Direction,Link,Source
“Hillary Clinton was sending classified documents that were stamped TS or TSSCI.”,“Hillary Clinton was sending classified documents that were stamped TS or TSSCI.”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/28/markwayne-mullin/hillary-clinton-sent-emails-stamped-top-secret-no/,Markwayne Mullin
Image shows a “person dressed up as Pikachu to resist police violence” in Turkey.,Image shows a “person dressed up as Pikachu to resist police violence” in Turkey.,0.05696728358433225,Negative,https://www.politifact.com/factchecks/2025/mar/28/social-media/image-of-a-person-dressed-as-pikachu-in-turkey-pro/,Social Media
"North Carolina “always had nonpartisan judicial races, and when the Republicans took over several years ago they changed it.”","North Carolina “always had nonpartisan judicial races, and when the Republicans took over several years ago they changed it.”",0.03849001794597505,Negative,https://www.politifact.com/factchecks/2025/mar/28/sydney-batch/democrat-wrongly-says-nc-always-had-nonpartisan-ju/,Sydney Batch
Videos show tornadoes hitting Seattle on March 26 and 27.,Videos show tornadoes hitting Seattle on March 26 and 27.,0.02357022603955158,Negative,https://www.politifact.com/factchecks/2025/mar/28/tiktok-posts/videos-dont-show-seattle-tornadoes-no-twisters-tou/,TikTok posts
“We have automobile plants being built at levels we've never seen … and they're going up fast.”,“We have automobile plants being built at levels we've never seen … and they're going up fast.”,0.039876783669994476,Negative,https://www.politifact.com/factchecks/2025/mar/28/donald-trump/fact-checking-donald-trump-on-whether-automobile-p/,Donald Trump
Phoenix’s increased wildfire risk is linked to Bill Gates’ “smart city” plans.,Phoenix’s increased wildfire risk is linked to Bill Gates’ “smart city” plans.,0.019938391834997238,Negative,https://www.politifact.com/factchecks/2025/mar/28/facebook-posts/phoenixs-wildfire-risk-linked-to-climate-change-an/,Facebook posts
“Canada makes bold decision to shut down Tesla and the US auto industry.”,“Canada makes bold decision to shut down Tesla and the US auto industry.”,0.026601948844201233,Positive,https://www.politifact.com/factchecks/2025/mar/28/facebook-posts/beep-beep-teslas-and-other-american-cars-are-still/,Facebook posts
"“Elon Musk exposes hidden $20K roof grant. Congress approved it.""","Congress approved it."" “Elon Musk exposes hidden $20K roof grant.",0.0,Positive,https://www.politifact.com/factchecks/2025/mar/28/facebook-posts/theres-no-20000-hidden-grant-program-for-roof-repa/,Facebook posts
"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""","""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",0.03302824284867829,Positive,https://www.politifact.com/factchecks/2025/mar/28/susan-crawford/in-wisconsin-supreme-court-race-crawford-claims-sc/,Susan Crawford
Video shows the Bitcoin whitepaper “was spotted at the White House.”,Video shows the Bitcoin whitepaper “was spotted at the White House.”,0.041532123295265615,Negative,https://www.politifact.com/factchecks/2025/mar/27/facebook-posts/trump-showed-the-declaration-of-independence-not-t/,Facebook posts
